Area;Sampling_time_zolle;Num_leaves_per_bundle;Mean_lenght;;;;;
Punta Sottile;Time2;3;8.70;;;;;
Punta Sottile;Time2;1;7.20;;;;;
Punta Sottile;Time2;3;2.50;;;;;
Punta Sottile;Time2;3;15.10;;;;;
Punta Sottile;Time2;1;8.30;;;;;
Punta Sottile;Time2;2;3.85;;;;;
Punta Sottile;Time2;2;10.55;;;;;
Punta Sottile;Time2;1;1.30;;;;;
Punta Sottile;Time2;1;7.80;;;;;
Punta Sottile;Time2;3;5.10;;;;;
Punta Sottile;Time2;2;3.70;;;;;
Punta Sottile;Time2;1;2.40;;;;;
Punta Sottile;Time2;1;2.00;;;;;
Punta Sottile;Time2;2;8.10;;;;;
Punta Sottile;Time2;2;3.65;;;;;
Punta Sottile;Time2;1;7.00;;;;;
Punta Sottile;Time2;2;1.30;;;;;
Punta Sottile;Time2;1;10.10;;;;;
Punta Sottile;Time2;2;5.10;;;;;
Punta Sottile;Time2;2;20.35;;;;;
Punta Sottile;Time2;1;2.20;;;;;
Punta Sottile;Time2;4;10.70;;;;;
Punta Sottile;Time2;2;8.75;;;;;
Punta Sottile;Time2;1;2.00;;;;;
Punta Sottile;Time2;1;3.90;;;;;
Punta Sottile;Time2;2;13.60;;;;;
Punta Sottile;Time2;2;3.35;;;;;
Punta Sottile;Time2;2;19.85;;;;;
Punta Sottile;Time2;2;10.75;;;;;
Punta Sottile;Time2;2;13.05;;;;;
Punta Sottile;Time2;2;12.05;;;;;
Punta Sottile;Time2;2;14.55;;;;;
Punta Sottile;Time2;2;12.60;;;;;
Punta Sottile;Time2;1;4.00;;;;;
Punta Sottile;Time2;2;15.15;;;;;
Punta Sottile;Time2;2;2.75;;;;;
Punta Sottile;Time2;3;9.37;;;;;
Punta Sottile;Time2;2;10.90;;;;;
Punta Sottile;Time2;2;8.35;;;;;
Punta Sottile;Time2;2;8.55;;;;;
Punta Sottile;Time2;3;9.73;;;;;
Punta Sottile;Time2;2;10.10;;;;;
Punta Sottile;Time2;2;6.40;;;;;
Punta Sottile;Time2;2;12.15;;;;;
Punta Sottile;Time2;2;3.10;;;;;
Punta Sottile;Time2;3;5.33;;;;;
Punta Sottile;Time2;1;9.50;;;;;
Punta Sottile;Time2;2;13.00;;;;;
Punta Sottile;Time2;3;10.17;;;;;
Punta Sottile;Time2;3;8.93;;;;;
Punta Sottile;Time2;1;11.90;;;;;
Punta Sottile;Time2;2;7.10;;;;;
Punta Sottile;Time2;1;9.70;;;;;
Punta Sottile;Time2;2;9.85;;;;;
Punta Sottile;Time3;2;12.95;;;;;
Punta Sottile;Time3;2;6.60;;;;;
Punta Sottile;Time3;1;2.70;;;;;
Punta Sottile;Time3;2;6.80;;;;;
Punta Sottile;Time3;3;14.23;;;;;
Punta Sottile;Time3;1;3.50;;;;;
Punta Sottile;Time3;2;7.55;;;;;
Punta Sottile;Time3;3;13.67;;;;;
Punta Sottile;Time3;2;3.70;;;;;
Punta Sottile;Time3;1;2.00;;;;;
Punta Sottile;Time3;2;2.60;;;;;
Punta Sottile;Time3;2;6.10;;;;;
Punta Sottile;Time3;2;4.15;;;;;
Punta Sottile;Time3;2;2.05;;;;;
Punta Sottile;Time3;1;7.00;;;;;
Punta Sottile;Time3;1;6.90;;;;;
Punta Sottile;Time3;1;7.80;;;;;
Punta Sottile;Time3;1;0.50;;;;;
Punta Sottile;Time3;1;5.40;;;;;
Punta Sottile;Time3;1;3.20;;;;;
Punta Sottile;Time3;2;4.35;;;;;
Punta Sottile;Time3;2;7.20;;;;;
Punta Sottile;Time3;2;4.25;;;;;
Punta Sottile;Time3;1;17.80;;;;;
Punta Sottile;Time3;1;5.80;;;;;
Punta Sottile;Time3;1;3.90;;;;;
Punta Sottile;Time3;2;10.25;;;;;
Punta Sottile;Time3;1;8.10;;;;;
Punta Sottile;Time3;2;10.75;;;;;
Punta Sottile;Time3;2;4.20;;;;;
Punta Sottile;Time3;2;10.70;;;;;
Punta Sottile;Time3;1;1.10;;;;;
Punta Sottile;Time3;1;1.90;;;;;
Punta Sottile;Time3;1;3.40;;;;;
Punta Sottile;Time3;1;4.30;;;;;
Punta Sottile;Time3;2;5.90;;;;;
Punta Sottile;Time3;3;4.53;;;;;
Punta Sottile;Time3;1;7.80;;;;;
Punta Sottile;Time3;2;5.75;;;;;
Punta Sottile;Time3;2;4.00;;;;;
